nextday_High,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,jp_Adj_Close,chnsse_Adj_Close,chnhs_Adj_Close,ko_Adj_Close,ind_Adj_Close,astsp_Adj_Close,ast_Adj_Close,usdow_Adj_Close,usnsdq_Adj_Close,usvix_Adj_Close,ussp_Adj_Close,eurestx_Adj_Close,fnc_Adj_Close,grm_Adj Close,cnd_Adj_Close
9061.599609,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523,20196.42,1199.061,15126.25,777.29,4333.899902,2685.8,2745.9,7795.38,1455.61,19.7,904.03,2452.79,2909.5,3867.53,6549
9218.209961,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,20121.41,1150.623,15055.7,775.26,4323.46,2681.3,2742.9,7895.8,1467.61,17.82,916.92,2491.58,2937,3939.73,6588
9370.410156,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,19968,1159.342,14823,781.7,4323.82,2673.1,2733.4,7877.15,1469.175,18.475,914.56,2509.09,2934.5,3946.73,6585.4
9371.5,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,19705.17,1096.819,14858.6,773.51,4291.45,2653.7,2713,7858.5,1470.74,19.13,912.2,2531.84,2947.7,4003.35,6529.1
9415.580078,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,19853.891,1109.666,14792.2,767.74,4306.39,2621.8,2679.2,7962.3,1485.1,18.76,918.75,2520.46,2929.8,4030.1,6580.8
9511.799805,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,19697.17,1120.841,14703.7,771.99,4404.69,2637,2696.1,7842.4,1486.63,20.4,907.54,2544.62,2950.6,4026.97,6574.6
9526.740234,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,19754.779,1120.154,14839.2,767.77,4378.37,2635.8,2694.4,7886.8,1490.93,19.92,913.78,2512.98,2929.1,4000.65,6592.9
9626.339844,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,19875.49,1154.794,15225.3,768.3,4321.98,2641.1,2699.1,7921.8,1502.62,19.06,916.68,2542.17,2941.6,4074.3,6626.4
9714.780273,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,20228.721,1200.114,15370.9,764.45,4225.02,2614,2673,7923,1523.88,19.58,918.38,2554.05,2946.15,4142.19,6639.6
9648.429688,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,20069.41,1200.11,15487.2,755.05,4221.02,2577.8,2637.6,7975.7,1542.11,19,925.76,2546.57,2950.7,4139.68,6655.9
