Date,open,high,low,volume,close
86/07/02,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523
86/07/03,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668
86/07/04,9144.959961,9218.209961,9119.25,9192.570313,9192.536133
86/07/07,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664
86/07/08,9345.549805,9371.5,9282.099609,9305.269531,9305.235352
86/07/09,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508
86/07/10,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055
86/07/11,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703
86/07/14,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906
86/07/15,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313
86/07/16,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414
86/07/17,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672
86/07/18,9669.740234,9677.400391,9555.980469,9677.400391,9677.364258
86/07/21,9814.25,9896.730469,9750.700195,9833.769531,9833.732422
86/07/22,9877.389648,9877.389648,9543.759766,9550.400391,9550.365234
86/07/23,9694.280273,9694.280273,9345.900391,9381.05957,9381.025391
86/07/24,9500.860352,9632.419922,9475.540039,9632.419922,9632.383789
86/07/25,9719.05957,9819.769531,9710.269531,9808.910156,9808.873047
86/07/28,9929.980469,9995.370117,9899.580078,9923.049805,9923.011719
86/07/29,9980.110352,10057.950195,9892.339844,9892.339844,9892.302734
86/07/30,9953.94043,10000.610352,9898.299805,9942.790039,9942.751953
86/07/31,10111.830078,10113.570313,10050.929688,10066.349609,10066.311523
86/08/01,9953.30957,10102.769531,9942.339844,10001.55957,10001.521484
86/08/04,10167.30957,10167.30957,10059.089844,10065.759766,10065.72168
86/08/05,10077.080078,10077.080078,9914.099609,9919.679688,9919.641602
86/08/06,9991.320313,9991.320313,9833.44043,9861.469727,9861.432617
86/08/07,9935.209961,9962.209961,9822.139648,9840.879883,9840.842773
86/08/08,9921.910156,9934.540039,9851.790039,9923.839844,9923.801758
86/08/11,10035.379883,10036.040039,9863.629883,9897.269531,9897.232422
86/08/12,9895.990234,9932.339844,9759.360352,9807.740234,9807.703125
86/08/13,9870.240234,9870.240234,9547.799805,9556.120117,9556.084961
86/08/14,9659.69043,9659.69043,9501.629883,9632.339844,9632.303711
86/08/15,9728.490234,9804.200195,9700.75,9770.799805,9770.762695
86/08/19,9788.240234,9806.290039,9703.900391,9712.450195,9712.413086
86/08/20,9831.55957,9856.589844,9797.25,9855.160156,9855.123047
86/08/21,9983.339844,10054.549805,9983.339844,10025.129883,10025.091797
86/08/22,9992.280273,10056.160156,9979.730469,10020.549805,10020.511719
86/08/25,10026.509766,10057.070313,9994.75,10011.469727,10011.431641
